Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Felix Mendelssohn | Violin Concerto in D minor, MWV O 3 | "" → "Mendelssohn Violin Concerto, Concerto para Violino de Mendelssohn" | MWV O 3 | title: "Violin Concerto"
Felix Mendelssohn | Violin Concerto, Op.64 | "" → "Mendelssohn Violin Concerto, Concerto para Violino de Mendelssohn" | Op.64 ; MWV O 14 | title: "Violin Concerto" + opus: "Op.64"
Franz Liszt | Consolations and Liebesträume for the Piano | "" → "Love Dream, Sonhos de Amor, Sonho de Amor" | N/A | title: "Liebestraum"
Franz Liszt | Liebesträume, S.541 | "" → "Love Dream, Sonhos de Amor, Sonho de Amor" | S.541 ; LW.A103 | title: "Liebestraum" + catalog: "S.541"
George Gershwin | Rhapsody in Blue | "" → "Rhapsody in Blue, Rapsódia em Azul" | N/A | title: "Rhapsody in Blue"
Giacomo Puccini | Madama Butterfly, SC 74 | "" → "Opera, Ópera" | N/A | title: "Madama Butterfly"
Giacomo Puccini | Tosca, SC 69 | "" → "Opera, Ópera" | S.69 | title: "Tosca"
Jean Sibelius | Finlandia, Op.26 | "" → "Tone Poem, Poema Sinfônico, Finlândia" | Op.26 | title: "Finlandia" + opus: "Op.26"
Johann Sebastian Bach | Preludes and Fughettas composed with the Well-Tempered Clavier II | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 870a-b, 871, 872a, 875/a-76, 884, 899-902 | title: "The Well-Tempered Clavier"
Johannes Brahms | 21 Hungarian Dances (Orchestra), WoO 1 | "" → "Hungarian Dances, Danças Húngaras, Dança Húngara Nº 5" | WoO 1 | title: "Hungarian Dance" + catalog: "WoO 1"
Johannes Brahms | 21 Hungarian Dances (Piano), WoO 1 | "" → "Hungarian Dances, Danças Húngaras, Dança Húngara Nº 5" | WoO 1 | title: "Hungarian Dance" + catalog: "WoO 1"
Ludwig van Beethoven | Piano Concerto No.5, Op.73 | "" → "Emperor, Imperador" | Op.73 | title: "Piano Concerto No.5" + opus: "Op.73"
Ludwig van Beethoven | Piano Sonata No.23, Op.57 | "" → "Appassionata, Apaixonada" | Op.57 | title: "Piano Sonata No.23" + opus: "Op.57"
Ludwig van Beethoven | Symphony No.3, Op.55 | "" → "Eroica, Heroica" | Op.55 | title: "Symphony No.3" + opus: "Op.55"
Pyotr Tchaikovsky | 1812 Overture, Op.49 | "" → "Festival Overture, Abertura Festival, Abertura 1812" | Op.49 ; TH 49 ; ČW 46 | title: "1812 Overture" + opus: "Op.49"
